Id,Label,node_type,modularity_class,degree,weighted degree,eigencentrality,pageranks,stat_inf_class,clustering,triangles,X,Y,Size,Color
2197,"B64: consumers, decisions, choices",Becker,2,44,4.954291,0.347841,0.002321,0,0.079281,75,-1253.102661,370.109344,27.671234,"#73c000"
2211,"B65: spending, federal, cuts",Becker,3,74,13.807942,1,0.003229,1,0.089596,242,21.753317,905.21875,40,"#9900e0"
2219,"B66: medicare, spending",Becker,14,35,4.082163,0.287691,0.001666,8,0.114286,68,271.206848,487.651764,23.972603,"#5795ff"
2226,"B67: hedge, funds",Becker,13,43,6.811107,0.421039,0.001855,11,0.127353,115,58.504993,1298.625,27.260275,"#ff5584"
2234,"B68: war, cost, iraq",Becker,11,43,6.239413,0.379642,0.002094,3,0.091916,83,-289.044891,191.777405,27.260275,"#4300a3"
2247,B69: aid africa,Becker,15,39,6.119786,0.396329,0.001799,13,0.132254,98,1107.109375,62.966785,25.616438,"#ff8805"
2256,B70: religious,Becker,8,31,3.512381,0.095942,0.001856,5,0.073118,34,3732.108643,-1608.797363,22.328768,"#4c463e"
2270,"B71: pandemic, flu, vaccines",Becker,12,30,3.538068,0.076713,0.001854,13,0.078161,34,3202.797852,977.996399,21.917809,"#31a800"
2286,"B72: information, privacy, surveillance",Becker,5,45,4.902201,0.329074,0.00238,19,0.077778,77,-1667.666748,-731.934692,28.082193,"#00c4ff"
2299,"B73: filibuster, senate",Becker,20,40,5.189387,0.296386,0.001877,7,0.098718,77,-437.500183,157.805008,26.027397,"#800f00"
2306,"B74: water, irrigation",Becker,4,35,3.956608,0.210691,0.001841,17,0.122689,73,-2102.521484,2086.240234,23.972603,"#05ff00"
2322,"B75: crime, police",Becker,1,46,7.659494,0.391323,0.002186,19,0.113043,117,-1084.557007,-1705.158447,28.493151,"#f5dc00"
2331,B76: japan,Becker,15,39,5.189255,0.346594,0.002062,24,0.102564,76,1120.362183,-16.121635,25.616438,"#ff8805"
2349,"B77: aids, africa",Becker,12,33,3.833044,0.137715,0.001665,13,0.104167,55,2744.424072,683.319397,23.150684,"#31a800"
2359,"B78: giving, charitable",Becker,3,35,4.658949,0.289071,0.001621,6,0.105882,63,486.542725,437.275787,23.972603,"#9900e0"
2367,"B79: technologies, skilled, countries",Becker,15,56,8.794204,0.644912,0.002692,20,0.081818,126,-639.649475,24.715967,32.602737,"#ff8805"
2377,"B80: life, statistical, value",Becker,14,47,5.521582,0.340924,0.0024,3,0.056429,61,418.969238,243.011475,28.90411,"#5795ff"
2388,"B81: india, economic",Becker,15,47,6.827469,0.51423,0.002336,32,0.100833,109,874.19519,-211.770599,28.90411,"#ff8805"
2399,"B82: fannie, freddie, mae",Becker,13,35,3.105692,0.238923,0.001603,21,0.114286,68,524.123779,2135.151855,23.972603,"#ff5584"
2412,"B83: endowments, schools",Becker,6,36,3.931163,0.272702,0.001653,14,0.104762,66,1508.798462,-1145.844971,24.38356,"#f00016"
2422,"B84: french, minimum, labor",Becker,16,54,7.645448,0.566045,0.002323,10,0.101328,145,575.644348,-226.354172,31.780821,"#00bd94"
2428,"B85: life, expectancy, medical",Becker,14,35,4.025303,0.207932,0.001782,8,0.085714,51,365.355682,89.480278,23.972603,"#5795ff"
2437,"F0: health, insurance",Full,14,36,4.614707,0.289442,0.001607,8,0.14127,89,205.211609,222.378815,24.38356,"#5795ff"
2438,"F1: college, education",Full,6,42,7.767794,0.396082,0.001797,14,0.197445,170,1789.841675,-1467.507812,26.849316,"#f00016"
2441,"F2: immigrants, illegal",Full,16,36,3.819066,0.300768,0.001609,15,0.115873,73,164.763412,-1298.504639,24.38356,"#00bd94"
2443,F3: obesity,Full,4,29,2.580157,0.101608,0.001433,17,0.1133,46,-3062.750732,2374.164551,21.506849,"#05ff00"
2445,"F4: answer, habitual, skeptical",Full,9,38,3.787395,0.200157,0.002301,22,0.082504,58,-1867.962646,145.771027,25.205479,"#ff2ec4"
2453,F5: unemployment,Full,16,37,4.766881,0.336977,0.001521,9,0.160661,107,228.875336,776.763611,24.794521,"#00bd94"
2454,"F6: banks, banking",Full,13,40,7.356418,0.406513,0.001581,21,0.196154,153,290.288513,1527.243164,26.027397,"#ff5584"
2455,"F7: taxes, income",Full,3,36,4.775415,0.372177,0.001485,6,0.174603,110,527.682983,1427.003296,24.38356,"#9900e0"
2457,"F8: carbon, emmissions, warming",Full,4,33,3.240479,0.164534,0.001598,17,0.140152,74,-2304.44873,2629.892822,23.150684,"#05ff00"
2460,"F9: housing, mortgages",Full,13,37,4.365162,0.329153,0.001502,21,0.160661,107,313.098785,1800.217773,24.794521,"#ff5584"
2461,"F10: women, men, gender",Full,8,35,3.703675,0.274586,0.001552,5,0.12605,75,2550.148193,-1280.182007,23.972603,"#4c463e"
2463,"F11: competition, demand, bureaucracies",Full,2,51,7.136098,0.581773,0.002188,1,0.098824,126,-840.64502,716.519348,30.547945,"#73c000"
2464,"F12: children, parents, mobility",Full,8,35,3.693171,0.253807,0.001554,23,0.117647,70,1802.012695,-567.190979,23.972603,"#4c463e"
2467,"F13: food, farmers, prices",Full,4,38,3.830668,0.339051,0.001617,17,0.153627,108,-1826.153564,1828.994873,25.205479,"#05ff00"
2468,"F14: drugs, marijuana, legalization",Full,1,35,3.71146,0.197301,0.001695,26,0.107563,64,-1858.884521,-1738.019531,23.972603,"#f5dc00"
2471,"F15: depression, recession",Full,16,38,4.640775,0.373366,0.001731,9,0.14367,101,510.477875,1167.528076,25.205479,"#00bd94"
2476,F16: china,Full,15,43,7.247028,0.520588,0.001799,12,0.158361,143,726.780457,-43.653664,27.260275,"#ff8805"
2479,"F17: campaign, contributions",Full,20,35,3.861053,0.185389,0.001727,7,0.112605,67,-216.711075,-288.710266,23.972603,"#800f00"
2484,"F18: oil, drilling, prices",Full,4,40,4.627233,0.315357,0.001842,17,0.162821,127,-1878.555176,2046.839844,26.027397,"#05ff00"
2490,"F19: inequality, income",Full,14,36,3.675979,0.321321,0.001537,27,0.109524,69,866.02356,494.867493,24.38356,"#5795ff"
2492,"F20: unions, workers",Full,2,33,3.379074,0.28688,0.001372,31,0.147727,78,-356.184937,809.529114,23.150684,"#73c000"
2494,"F21: newspapers, news, internet",Full,5,33,2.671763,0.14391,0.001775,30,0.092803,49,-2171.190918,-1249.888306,23.150684,"#00c4ff"
2497,"F22: compensation, ceo",Full,2,35,4.986951,0.290363,0.001465,11,0.142857,85,-673.072998,1006.431519,23.972603,"#73c000"
2498,"F23: infaltion, rates, reserves",Full,13,52,11.256166,0.698279,0.001985,21,0.168175,223,196.189743,1344.492676,30.958904,"#ff5584"
2499,"F24: debt, deficit, spending",Full,3,43,7.175214,0.536311,0.001765,18,0.174972,158,352.415161,1210.498291,27.260275,"#9900e0"
2503,"F25: airlines, delay",Full,11,28,3.27366,0.069929,0.001432,2,0.116402,44,-3031.869873,-740.176147,21.09589,"#4300a3"
2505,"F26: greece, euro",Full,15,35,4.91026,0.282688,0.001569,12,0.147899,88,910.20575,303.700134,23.972603,"#ff8805"
2507,"F27: democracy, freedom",Full,20,36,3.801566,0.27778,0.00174,7,0.119048,75,570.059204,-534.577393,24.38356,"#800f00"
